1,Love this skirt. very comfy. looks like it's very expensive material but feels comfortable.
-1,It is such a cute design and very soft and comfortable  but the picture for this product is very deceiving! it looks like the sweater is fairly long in the pictured product page  but it is considerably short. i am nearly six foot tall  but thought by this picture it would be lengthy  not at all! it is a beautiful sweater  might work better for a shorter stature.
1,Tried this on and loved it! chic  lightweight  warm  cute left as is and cuter belted. ended up letting a friend buy it since it was the last one but will be adding to my iso list for sure!
1,Beautiful dress! vibrant colors. fabric has a nice weight and drapes perfectly. 36 dd up top and the girls have plenty of space.
0,I really wanted this top to work but i felt that it was big and boxy. it's shorter in the front and longer in the back. the seam and peplum hit at a strange place and made me look disheveled. it's definitely worth trying on  but didn't fit me.
1,I bought the lavender in my normal large. the fabric drapes wonderfully and does not cling to my midsection. the texture of the fabric is much more interesting than the photos online show. there is beautiful shimmer tot he heather in the color. in my lavender shirt there is pink/gray/lavendar/white/silver depth to the fabric. i plan on getting at least two more colors.     i recommend washing all shirts like this in a nylon bag in the machine  then line drying. i have done this for years with al
1,I ordered this in a large and its a super cute dress but this time the large ran super big! i usually wear a 10 so sometimes mediums are too small. i'm going to exchange it for a medium and see if that fits better. the beading detail is beautiful but just had too much fabric down below.
-1,Good quality fabric and structure but the mix media details and lines make them seem more like jodphurs than leggings. it's hard to see where i would wear them ... sorry but they have to go back.
1,I ordered this online  having never seen it in person. i loved it as soon as i touched the soft material. it fits me perfectly...i almost invariably wear a size 6 in retailer dresses and tops  which gave me the confidence to order online  and this dress is true to size. the detailing at the bosom is so flattering. the fabric is supple and hangs gracefully without clinging to my not-so-perfect waistline. i have worn this twice already  having received it only a week ago. the blue/black combi
-1,I wanted a comfortable and loose casual dress. i liked the pictures and decided to give it a try.  the dress turned out to be too loose (i got size 4 after checking the measurements chart  i'm 5'7' 125 lb and usually wear s). i could practically wrap myself in this dress. besides  it looks a bit too long (well  i'm not as tall as the model in the photos and i don't like wearing high heels).  the material looks faded  not as bright as in the pictures. i like distressed and vintage style  but this
0,I am a pretty consistent size 2 or 26. ordered these in my usual 26 and  yikes  right out of the package knew they''d be way to small. they have a lot of stretch in them so i was able to get them buttoned but they were wayyyy too small and looked awful. i returned them for a 27 which i am still waiting for. i'll update this review when they arrive. other than the size issue  they were just as pictured/expected.
0,I wanted to love these great spring/summer pants  but sadly  they are just too unflattering for ladies with hips. if you have a ruler build  these pants will be fantastic  but these pants are not forgiving in the hip and thigh area for those of you blessed with a curvier build. i was really hoping for pants that had this clean  vintage inspired  audrey hepburn look re-imagined for the every-girl  because nothing is more flattering to an hourglass body than clean  non-bulky lines (something like
1,This pullover is great for lounging! so warm and cozy!
0,I tried this on at the store  and though it was pretty  i was a little underwhelmed. it fit but had no give so it might not have been too comfortable for movement unless sized up. the embroidered polka dots were a lovely idea  but the quality was not great - they were already fraying and pretty irregular looking. the idea of the top was better than the execution.
0,I love the colors of this top. it does run very large though. when i received my usual small i felt like i was swimming in the top  not fitted at all. the material is a bit funky too - seems a little lower quality because of the fabric. will return and try a smaller size if there is one available at the store and see if i change my mind.
-1,This sweater looked so promising with the tie waist and pretty lacy edging  but turned out to be a disappointment. it was much shorter than it looks in the photos and barely came to my hips. and the plum color was much darker than i expected  more of a dull brownish-burgundy.
1,I love the way the dress fit definitely a flip flop by the poolside bar dress. i ordered the mango colored one and was disappointed that the color resembled a dark squash orange and not as bright as it looked in picture. i think it will look nice with a tan so i will keep it. wouldn't plan to dress it up too much because it will definitely wrinkle ! i am a petite 5'4 and got the regular and it fits just above my knees which is good for my taste!
-1,As the other reviewer said  the skirt had this weird bunching on both sides of the hips-it was ridiculous. i don't know how anyone could wear it-looks like you had two little triangle things poking out from each hip. i'm long and lean so usually skirts like this fit me well. very very strangely constructed-i couldn't keep it even at the deeply discounted price
1,I ordered this dress online and didn't really know what to expect. but to my surprise  it's exactly what i had hoped it would be. the dress is a fantastic fit and has a modern  interesting print. the fabric does seem thin for the price. but i am not returning it. it's a casual summer dress that kicks up my look a notch on weekends. i wear it with beige sandals  and the gray and beige look good together too.
-1,Was very surprised when i opened the package  this dress is very thin fabric and you need to wear a half slip as it is see through. the top of the dress is short to the draw string and does not drape bloused style at all. i have a short waist length so it should have worked. the color is a little darker than pictured  but over all looks cheap so full price with tax makes it way over priced. going back asap.
1,"The romper is well made and just plain cute. i bought it the second i saw it and don't regret my impulse buy one bit. 135 5'5"" and the small fit perfectly."
-1,It's beautiful  lovely quality  gorgeous bird. but the fit just doesn't work for me. i'm usually a medium  which is what i got  it's just too tight in the chest. for ref 36d. as is it already flares out some in the bottom so i'm not gonna bother w a larger size unfortunately
1,Cute top but does stretch out a bit throughout the day.
-1,C'mon. the accent is wrong! a simple google search would prevent this.
-1,I love good  flowy blouses and like the over sized look  but this one didn't wow me. i thought the quality was just ok. it didn't flatter me. i almost liked it  but i didn't. i'm glad i tried it on  because looking at the pics online i thought i'd like it way more than i did. just not great.
-1,I ordered this skirt in a size small and when i received it  not only was it too long  but there was also a hole in it. so i returned it. when a small petite became available  i ordered it thinking it would fit better. i just received it and there is a hole in this skirt as well. both skirts also looked as if they had been worn; there was fuzz and lint all over the skirts. i like the skirt but i either have extremely bad luck or it's really bad quality.
