1,This skirt is stunning but i really wish it was cotton canvas - maybe by summer retailer could make one?
0,This is a very cute shirt with great details. however  it runs a little bit small. not as full cut as it seems.
1,I'm really looking forward to wearing this skort on vacation in hawaii. it's a great color  soft  flowy  fun  practical.
-1,Ag jeans have been a main stay for me. they are the most comfortable and best looking jeans on my body. however this pair was too tight and shorter then i liked. the fabric and color is beautiful. i wear the same size for ag no matter the design. but this one ran too small. i have to return it. i will try the next size up if they still have them.
1,The fabric is thin  though. you better wash it in a bag or the washing machine will tear it up!
-1,"I'm a rather small person--5'2""  about 100 lbs  32a bust. i typically take a 24p/00p/xxs. knowing how retailer's sizing is a bit all over the place  i ordered this tee in both xxs and xs  planning to return the size that was less preferred. imagine my surprise when i try on one of the tees and i barely can get it on; imagine my further surprise when i realize that the xs is the tee that was so clingy. now i realize that this is supposed to be a body-skimming tee  but even as petite as i am  i coul"
0,"This top fits like shown in the pictures. however  i bought the rose color and thought it was a little ""off"". would have loved to find the ivory in my size."
1,Super cute and comfy  perfect for fall and winter (apre ski!). great with skinny jeans or leggings and ankle boots.
0,This dress has been one that i just adored online and in the store so i was happy when i bought it on sale. i have worn this dress one time  thinking that i would love it. the problem is that as i wore it  the dress continued to stretch out of shape and just did nothing for my curvy bottom half. the dress just looked pulled and stretched out of shape. i would say that it may be the yarn and that it has too much give or at least more give than i want.
0,Loved the design and print of this blouse.  however  every time i put it on or took it off  i could hear the seams ripping.  definitely wasn't because it was too small either.
-1,I was disappointed with the style and quality of this dress. it poofs out funny in the waste and it just looks very unflattering. i'm sending it back.
-1,Very disappointed that i ordered this dress and a large was too big. returned and asked for an exchange to a size medium  it was apparently not available in the medium  i was charged a 5.95 fee for return shopping. so i immediately went to website  medium available and i had to pay another 12.95 for shipping. seems a bit unreasonable  but really liked the dress.
-1,Wanted to like this top but it looks terrible and does not lay right. the bust line is not tight enough to contrast the rest of the top being flowy. does not give any shape to the body. do not recommend for anyone with a medium to large chest.
-1,I really wanted to love this shirt. the fit was great  and the fabric just felt beautiful. luxurious  soft and flowing. but the collar was frayed... in addition  the little keyhole area fabric also had to be carefully handled to make it look smooth and not like bad workmanship. i put it aside to return it  then this morning went to have another look at it  wanting to talk myself back into it. but i can't overlook the fact i'd be ordering a new shirt that would look time-worn. it may be only this
